74_0, 73;
73_74, 74 74 74 74 74 74 74 74;
74_73, 71 71 71 71 71 71 71 71;
71_74, 69 74 69 67 67 69 67 67 67 69 67 69 74 69 67 67 69 67 67 67 69 67 69 74 69 67 67 69 67 67 67 69 67 69 74 69 67 67 69 67 67 67 69 67;
69_71, 67 67 67 70 67 76 74 71 74 71 67 67 71 71 74 71 67 67 71 67 67 67 70 67 76 74 71 74 71 67 67 71 71 74 71 67 67 71 67 67 67 70 67 76 74 71 74 71 67 67 71 71 74 71 67 67 71 67 67 67 70 67 76 74 71 74 71 67 67 71 71 74 71 67 67 71;
67_69, 69 69 71 66 66 69 71 69 71 69 69 71 66 66 69 71 69 71 69 69 71 66 66 69 71 69 71 69 69 71 66 66 69 71 69 71;
69_67, 66 66 71 71 62 71 71 62 66 66 71 71 62 71 71 62 66 66 71 71 62 71 71 62 66 66 71 71 62 71 71 62;
66_69, 62 62 62 62 62 62 62 62;
62_66, 69 67 69 69 67 69 69 67 69 69 67 69;
69_62, 62 67 74 74 62 67 74 74 62 67 74 74 62 67 74 74;
62_69, 74 67 67 74 67 67 74 67 67 74 67 67;
74_62, 71 71 71 71;
74_71, 73 73 73 73;
67_62, 74 71 74 71 74 74 71 74 71 74 74 71 74 71 74 74 71 74 71;
74_67, 67 71 73 67 71 73 67 71 73 67 71;
67_74, 66 66 66 66;
66_67, 62 71 71 62 71 71 62 71 71 62 71 71;
71_67, 72 69 69 69 69 72 69 69 69 69 72 69 69 69 69 72 69 69 69 69;
72_71, 71 71 71 74 71 74 71 71 71 74 71 74 71 71 71 74 71 74 71 71 71 74 71 74;
71_72, 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69 69;
71_66, 67 67 67 67 67 67 67 67;
67_71, 64 64 62 64 64 69 62 64 64 69 64 64 62 64 64 69 62 64 64 69 64 64 62 64 64 69 62 64 64 69 64 64 62 64 64 69 62 64 64 69;
64_67, 74 71 67 66 67 62 67 66 67 62 74 71 67 66 67 62 67 66 67 62 74 71 67 66 67 62 67 66 67 62 74 71 67 66 67 62 67 66 67 62;
74_64, 72 72 72 72;
72_74, 71 71 71 71;
70_69, 71 71 71 71;
71_70, 71 71 71 71;
71_71, 72 72 72 72;
71_64, 69 69 69 69;
76_69, 73 73 73 73;
73_76, 71 71 71 71;
71_73, 69 69 69 69;
74_69, 74 71 71 71 71 74 71 71 71 71 74 71 71 71 71 74 71 71 71 71;
74_74, 71 71 71 71;
62_67, 64 69 64 69 64 69 64 69 64 69 64 69 64 69 64 69;
64_62, 66 66 66 66 66 66 66 66;
66_64, 67 67 67 67 67 67 67 67 67 67 67 67 67 67 67 67;
67_66, 64 69 64 69 64 69 64 69 64 69 64 69 64 69 64 69;
67_64, 62 64 62 64 62 64 62 64 62 64 62 64 62 64 62 64;
71_69, 69 72 69 67 72 69 72 69 67 72 69 72 69 67 72 69 72 69 67 72 69 72 69 67 72 69 72 69 67 72 69 72 69 67 72 69 72 69 67 72;
62_64, 62 62 62 62 62 62 62 62;
62_62, 67 67 67 67 67 67 67 67;
74_72, 71 71 71 71 71 71 71 71;
